매출액총이익률,매입채무회전률,OCF,당좌비율,영업비용 대 영업수익 비율,target
16.611837060212878,452.33618925387634,1047.0,78.69682054502304,288.7044679705724,0
17.67437161998838,496.92715896663617,18369.0,86.72675038228071,247.61938551053711,0
16.355200559347022,517.2146773844854,5445.0,74.25578629585581,540.6817505209884,0
17.037624511594405,382.8648633590551,19014.0,76.97695436059647,342.7720525668904,0
15.715961971812206,374.6852517985611,5323.0,77.25203853514967,540.1357773251867,0
12.47685915865446,220.03491515242527,3436.0,108.818852348085,249.23591212989496,0
16.22784316054746,225.48261809554785,3129.0,140.19782003201965,77.38614228735739,0
14.837733161198416,244.0790307683949,11464.0,143.94183864915573,60.47985877066282,0
15.180068261733023,224.50251877014531,18501.0,185.96258458272524,89.00663669449797,0
9.501459620601798,244.83646925116807,4503.0,145.67245520044338,154.65855681504007,0
