회사명,거래소코드,회계년도,유동자산_연결,비유동자산_연결,유동부채_연결,비유동부채 _연결,자본금_연결,자본잉여금_연결,기타포괄손익누계액_연결,이익잉여금_연결,매출액_연결,매출원가_연결,매출총이익_연결,판관비_연결,영업손익_연결,금융수익_연결,기타이익_연결,기타손실_연결,법인세비용_연결,당기순이익_연결,총포괄손익_연결,OCF_연결,ICF_연결,FCF_연결,매출채권 및 기타유동채권_연결,현금및현금성자산_연결,유형자산_연결,자산_연결,부채_연결,자본_연결,감가상각비_연결,감가(주석)_연결,총자본증가율_연결,유형자산증가율_연결,비유동자산증가율_연결,유동자산증가율_연결,재고자산증가율_연결,매출액증가율_연결,매출액총이익률_연결,유동자산 대 비유동자산비율_연결,당좌자산구성비율_연결,비유동자산구성비율_연결,자기자본구성비율_연결,타인자본구성비율_연결,비유동비율_연결,비유동장기적합률_연결,유동비율_연결,당좌비율_연결,현금비율_연결,매출채권비율_연결,재고자산 대 순운전자본비율_연결,매출채권 대 매입채무비율_연결,매입채무 대 재고자산비율_연결,부채비율_연결,유동부채비율_연결,단기차입금 대 총차입금비율_연결,비유동부채비율_연결,비유동부채 대 순운전자본비율_연결,순운전자본비율_연결,차입금의존도_연결,차입금비율_연결,이자보상배율(이자비용)_연결,CASH FLOW 대 부채비율_연결,CASH FLOW 대 차입금비율_연결,CASH FLOW 대 매출액비율_연결,총자본회전률_연결,자기자본회전률_연결,매입채무회전률_연결,매입채무회전기간_연결,유동자산회전률_연결,당좌자산회전률_연결,재고자산회전률_연결,재고자산회전기간_연결,매출채권회전률_연결,매출채권회전기간_연결,비유동자산회전률_연결,유형자산회전율_연결,순운전자본회전률_연결,1회전기간_연결,종업원수_연결,재고자산_연결,매입채무 및 기타유동채무_연결,단기차입금_연결,장기차입금_연결,사채_연결,이자비용_연결
동일산업(주),004890,2019/12,274097.0,130756.0,39206.0,11842.0,12126.0,14535.0,0.0,342159.0,354691.0,339049.0,15643.0,16622.0,-979.0,6035.0,3759.0,2099.0,1475.0,3751.0,3272.0,23828.0,-12473.0,-1935.0,65623.0,48024.0,87246.0,404853.0,51049.0,353805.0,11957.05,11957.0,-1.19,23.44,18.36,-8.41,-7.24,-9.29,4.41,209.62,49.73,32.3,87.39,12.61,36.96,35.76,699.11,513.48,122.49,89.68,30.98,483.3,18.56,14.43,11.08,39.58,3.35,5.04,58.02,1.06,1.22,-131.83,25.73,305.02,3.7,0.87,1.0,22.01,16.58,1.24,1.68,4.69,77.82,5.84,62.45,2.94,4.49,1.07,0.01,,72780.0,36479.0,1000.0,2000.0,0.0,7.0
동일제강(주),002690,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일제강(주),002690,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동화약품(주),000020,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동화약품(주),000020,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동화약품(주),000020,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동화약품(주),000020,2018/12,227887.0,142712.0,60798.0,12400.0,27931.0,27069.0,1465.0,243147.0,306603.0,190699.0,115903.0,104677.0,11226.0,3034.0,441.0,241.0,4471.0,10068.0,4822.0,-4360.0,17217.0,-3831.0,79435.0,40615.0,96772.0,370599.0,73199.0,297401.0,11357.18,11357.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,159.68,49.7,38.51,80.25,19.75,47.99,46.07,374.83,302.92,66.8,167.77,26.16,244.77,68.54,24.61,20.44,0.0,4.17,7.42,45.09,0.0,0.0,999999999.0,-5.96,0.0,-1.42,0.83,1.03,10.23,35.67,1.35,1.66,7.01,52.04,4.18,87.32,2.15,3.17,1.06,0.01,,43718.0,51002.0,0.0,0.0,0.0,0.0
