회사명,회계년도,거래소코드
콘텐트리중앙,2011,036420
콘텐트리중앙,2016,036420
콘텐트리중앙,2019,036420
콤텍시스템,2014,031820
쿠쿠홀딩스,2017,192400
큐로,2019,015590
크라운해태홀딩스,2016,005740
크라운해태홀딩스,2017,005740
키다리스튜디오,2012,020120
키다리스튜디오,2017,020120
태림포장,2016,011280
태양금속공업,2017,004100
태영건설,2011,009410
태영건설,2013,009410
태영건설,2014,009410
태영건설,2015,009410
태평양물산,2013,007980
테이팩스,2019,055490
티웨이홀딩스,2011,004870
티웨이홀딩스,2012,004870
티웨이홀딩스,2017,004870
티웨이홀딩스,2018,004870
파미셀,2012,005690
파미셀,2017,005690
파미셀,2019,005690
팜스코,2011,036580
팜젠사이언스,2012,004720
팜젠사이언스,2014,004720
팬오션,2013,028670
팬오션,2015,028670
퍼시스,2014,016800
퍼시스,2018,016800
페이퍼코리아,2017,001020
평화산업,2014,090080
풍산,2017,103140
풍산,2018,103140
풍산홀딩스,2017,005810
풍산홀딩스,2018,005810
플레이그램,2014,009810
플레이그램,2015,009810
플레이그램,2017,009810
하나금융지주,2011,086790
하나금융지주,2013,086790
하나금융지주,2014,086790
하이스틸 IR,2017,071090
하이트진로,2011,000080
하이트진로,2017,000080
하이트진로홀딩스,2017,000140
한국가스공사,2013,036460
한국공항,2014,005430
한국금융지주,2015,071050
한국내화,2017,010040
한국내화,2018,010040
한국앤컴퍼니,2012,000240
한국앤컴퍼니,2017,000240
한국자산신탁,2016,123890
한국자산신탁,2017,123890
한국자산신탁,2018,123890
한국자산신탁,2019,123890
한국전자홀딩스,2013,006200
한국전자홀딩스,2015,006200
한국전자홀딩스,2019,006200
한국조선해양,2014,009540
한국조선해양,2015,009540
한국조선해양,2016,009540
한국조선해양,2017,009540
한국조선해양,2018,009540
한국조선해양,2019,009540
한국종합기술,2018,023350
한국주강,2016,025890
한국주강,2018,025890
한국주철관공업,2017,000970
한국철강,2019,104700
한국콜마홀딩스,2012,024720
한국타이어앤테크놀로지,2017,161390
한국특강,2015,007280
한국특강,2016,007280
